title,composer,duration,fileVersion,hasHarmonies,hasLyrics,keysig,lyrics,measures,mscoreVersion,pageFormatHeight,pageFormatTwosided,pageFormatWidth,pages,poet,previousSource,subtitle,tempo,tempoText,timesig,partName,instrumentId,hasPitchedStaff,program,titles,subtitles,composers,poets,yt_id,syncpoint_count,cropped_duration,gpx_name,ss_artist,scorehash,video_title,video_description,channel_name,view_count,thumbnail_path,,ComposerName,WorkName,ComposerName,,f-measure,f-measure-static,composer_name_normalized,composer_url,composer_nationality,composer_born,composer_died,performer_name,performer_gender,performer_nationality,performer_social_media
Rosita,,82,420,FALSE,FALSE,2,,50,,297,TRUE,210,2,,,"www.classclef.com
Francisco Tarrega (1852-1909)
Polka",94,94 <sym>metNoteQuarterUp</sym> = 94,1/4,Steel Guitar,cavaquinho,TRUE,25,Rosita,"www.classclef.com
Francisco Tarrega (1852-1909)
Polka",,,Cl6N93b-YE4,82,110,Rosita by Francisco Tarrega,,vV1wc,"Tárrega | Rosita (Polka) | Patrik Kleemola, guitar","Patrik Kleemola plays Rosita (Polka) by Francisco Tárrega. 

Welcome to follow Patrik Kleemola's video series of Francisco Tárrega's guitar classics and transcriptions of the great masterpieces of the piano literature (Chopin, Beethoven, Mendelssohn, Schumann). This series was published during Summer 2020 introducing a new video once a week.

Join in by subscribing to the channel and hit the bell icon to keep updated!

www.facebook.com/KleemolaGuitar
www.patrikkleemola.com",Patrik Kleemola,12878,yt_thumbnails/Cl6N93b-YE4.jpg,,Francisco Tarrega (1852-1909),,Francisco Tarrega (1852-1909),Francisco Tarrega,0.99,0.99,Francisco Tarrega,https://imslp.org/wiki/Category%3AT%C3%A1rrega%2C%20Francisco,Spanish,1852,1909,Patrik Kleemola,male,unknown,
Andante sentimental,Music by Arr: Stefan Apke,307,420,FALSE,FALSE,0,,51,,297,TRUE,210,3,,,"www.classclef.com
Jose Broca (1805-1882)",40,<sym>metNoteQuarterUp</sym> = 40,3/4,Nylon Guitar,cavaquinho,TRUE,24,Andante sentimental,"www.classclef.com
Jose Broca (1805-1882)",Music by Arr: Stefan Apke,,sLO8_IWhcgE,76,308,broca-andante-sentimental,,SV1wc,"Jose Broca, Andante sentimental","Тимофей Сердечный, гитара...",Тимофей Сердечный,3333,yt_thumbnails/sLO8_IWhcgE.jpg,,Jose Broca (1805-1882),,Jose Broca (1805-1882),Jose Broca,0.89,0.89,Jose Broca,https://imslp.org/wiki/Category%3ABroca%2C%20Jos%C3%A9,Spanish,1805,1882,Timo Feusss,male,unknown,
Papelon,,61,420,FALSE,FALSE,2,,23,,297,TRUE,210,2,,,"www.classclef.com
Antonio Lauro (1917-1986)
№3 from Three Venezuelan Pieces ",144,<sym>metNoteQuarterUp</sym> = 144,2/4,Nylon Guitar,cavaquinho,TRUE,24,Papelon,"www.classclef.com
Antonio Lauro (1917-1986)
№3 from Three Venezuelan Pieces ",,,Dp61dvVo6Yo,58,82,El Baile del Papelon by Antonio Lauro,,pV1wc,"Antonio Lauro - ""Papelon""","Andrey Shilov plays ""Papelon"" by Antonio Lauro. Yesterday my friend Steve asked me to record this piece. I found the score and learned  it on his request  in 10 minutes. So this is a raw version. I post it only for Steve as a reference example. So please don't be too strict  when judging it. The title refers to a Venezuelan confection made of sugar cane. That info is from Stevie. Thanks to him!
PAPELON is the №3 from THREE VENEZUELAN PIECES arranged by Antonio Lauro. The №1 - ZULAY - Venezuelan Popular song by Jose Rafael Cisneros and №2 - ADIOS A OCUMARE - Popular Venezuelan waltz composed by Ángel María Landaeta you may find on my channel in the playlist ""ANTONIO LAURO"".
===================================
Преподаватель Днепропетровской консерватории Андрей Шилов играет  ""PAPELON"" венесуэльского композитора Антонио Лауро. Это №3 из ТРЁХ ВЕНЕСУЭЛЬСКИХ ПЬЕС в обработке Антонио Лауро. №2 - ADIOS A OCUMARE - популярный венесуэльский вальс композитора Ангела Мария Ландаета и №1 - ZULAY - популярную венесуэльскую песню Хосе Рафаэля Сиснероса можно найти на моем канале в плэйлисте ""АНТОНИО ЛАУРО"".

#Papelon #AndreyShilov #AntonioLauro #interesno #LatinamericanGuitarMusic 
#classicalguitar #VenezuelanGuitarMusic #guitar #rare #UkrainianGuitarists #GuitarVirtuosos",Pajarillo57,5085,yt_thumbnails/Dp61dvVo6Yo.jpg,,Antonio Lauro (1917-1986),,Antonio Lauro (1917-1986),Antonio Lauro,0.85,0.85,Antonio Lauro,https://en.wikipedia.org/wiki/Antonio_Lauro,Venezuelan,1917,1986,Andrey Shilov,male,Ukrainian,{'youtube': 'Pajarillo57'}
Cueca Chilena,,146,420,FALSE,FALSE,3,,42,,297,TRUE,210,2,Words by Revised by Alirio Diaz,,"www.classclef.com
Antonio Lauro (1917-1986)
Tu eres la estrella mas linda",120,<sym>metNoteQuarterUp</sym> = 120,3/4,Nylon Guitar,cavaquinho,TRUE,24,Cueca Chilena,"www.classclef.com
Antonio Lauro (1917-1986)
Tu eres la estrella mas linda",,Words by Revised by Alirio Diaz,KI3MRg8rQMQ,99,133,Cueca Chilena by Antonio Lauro,,Nf1wc,Alirio Diaz - Cueca Chilena (Lauro) Greek TV,Alirio Diaz plays Cueca Chilena by Antonio Lauro on Greek TV.,Chris Chilli,45679,yt_thumbnails/KI3MRg8rQMQ.jpg,,Antonio Lauro (1917-1986),,Antonio Lauro (1917-1986),Antonio Lauro,0.21,0.21,Antonio Lauro,https://en.wikipedia.org/wiki/Antonio_Lauro,Venezuelan,1917,1986,Chris Chilli,male,,
Choro Triste No. 2,Music by Transcribed by Paul Bellinati,131,420,FALSE,FALSE,1,,37,,297,TRUE,210,3,,,"Garoto (Anibal Augusto Sardinha) (1915-1955)
www.classclef.com",60,<sym>metNoteQuarterUp</sym> = 60,2/4,Nylon Guitar,cavaquinho,TRUE,24,Choro Triste No. 2,"Garoto (Anibal Augusto Sardinha) (1915-1955)
www.classclef.com",Music by Transcribed by Paul Bellinati,,CHv-9ovKMuo,66,146,garoto-choro2,,cf1wc,Mauro Ribeiro - Choro Triste N.2 (Garoto),31/03/17,Virtuose Escola de Música,1080,yt_thumbnails/CHv-9ovKMuo.jpg,,Garoto (Anibal Augusto Sardinha) (1915-1955),,Garoto (Anibal Augusto Sardinha) (1915-1955),Garoto,0.92,0.92,Garoto,https://imslp.org/wiki/Category%3AGaroto,Brazilian,1915,1955,Mauro Ribeiro,male,Brazilian,
Sonata I,Music by Arr: Julian Bream,187,420,FALSE,FALSE,-1,,36,,297,TRUE,210,2,,,"www.classclef.com
Domenico Cimarosa (1749-1801)",35,Largo <sym>metNoteQuarterUp</sym> = 35,6/8,Nylon Guitar,cavaquinho,TRUE,24,Sonata I,"www.classclef.com
Domenico Cimarosa (1749-1801)",Music by Arr: Julian Bream,,rDBKuuvAUnM,37,160,cimarosa-sonata1,,Vf1wc,Sonata in D minor - Domenico Cimarosa,"Here is one of many beautiful little sonatas (originally for keyboard) by Italian composer Domenico Cimarosa (1749-1801). Originally arranged by Julian Bream, but I added a few little things here and there. Cimarosa was/is best known for his output of operas, of which he produced over 80!
Guitar by Jeff Sigurdson (cedar double-top, balsa core)
http://www.sigurdsonguitars.com/
http://www.classicalguitarist.ca/
https://www.hkguitarduo.com/",Drew Henderson,44163,yt_thumbnails/rDBKuuvAUnM.jpg,,Domenico Cimarosa (1749-1801),,Domenico Cimarosa (1749-1801),Domenico Cimarosa,0.89,0.89,Domenico Cimarosa,https://imslp.org/wiki/Category%3ACimarosa%2C%20Domenico,Italian,1749,1801,Drew Henderson,male,unknown,"{'website': 'http://www.classicalguitarist.ca/', 'guitar_company': 'http://www.sigurdsonguitars.com/', 'duo_website': 'https://www.hkguitarduo.com/'}"
Estudio No 4,,80,420,FALSE,FALSE,3,,45,,297,TRUE,210,4,,,"www.classclef.com
Francisco Tarrega (1852-1909)
Estudio en Arpegios",90,<sym>metNoteQuarterUp</sym> = 90,2/4,Gitarre,cavaquinho,TRUE,24,Estudio No 4,"www.classclef.com
Francisco Tarrega (1852-1909)
Estudio en Arpegios",,,MKhO_XORWdA,56,97,tarrega-estudio4,,ff1wc,Estudio de arpegios de Tárrega - Paola Hermosín,"Esta es mi interpretación del Estudi de arpegios de Francisco Tárrega para guitarra. Espero que os guste.

Podéis encontrar mi música en redes sociales:

Instagram: @paohermosin
https://www.instagram.com/paohermosin/ 

Facebook: @paohermosin
https://www.facebook.com/paohermosin/

Soundcloud: 
https://soundcloud.com/paolahermosin

Twitter: @paohermosin
https://twitter.com/paohermosin/",Paola Hermosín,105983,yt_thumbnails/MKhO_XORWdA.jpg,,Francisco Tarrega (1852-1909),,Francisco Tarrega (1852-1909),Francisco Tarrega,0.66,0.66,Francisco Tarrega,https://imslp.org/wiki/Category%3AT%C3%A1rrega%2C%20Francisco,Spanish,1852,1909,Paola Hermosín,female,unknown,"{'instagram': '@paohermosin', 'facebook': '@paohermosin', 'twitter': '@paohermosin'}"
Kleine Romanze,,171,420,FALSE,FALSE,1,,48,,297,TRUE,210,2,,,"www.classclef.com
Luise Walker (1910-1998)
""Little Romance""",100,<sym>metNoteQuarterUp</sym> = 100,1/8,Steel Guitar,cavaquinho,TRUE,25,Kleine Romanze,"www.classclef.com
Luise Walker (1910-1998)
""Little Romance""",,,kcue3Kns3us,88,208,Kleine Romanze by Luise Walker,,Mf1wc,Kleine Romanze' by Luise Walker,The 'Kleine Romanze' by Luise Walker is probably her best known composition.,The Dutch Mandolin Chamber Orchestra HET CONSORT,11877,yt_thumbnails/kcue3Kns3us.jpg,,Luise Walker (1910-1998),,Luise Walker (1910-1998),Luise Walker,0.95,0.95,Luise Walker,https://en.wikipedia.org/wiki/Luise_Walker,Austrian,1910,1998,Alex Timmerman,male,unknown,{}
Ouverture (2),Music by Arr. Gary Ryan,127,420,FALSE,FALSE,0,,53,,297,TRUE,210,2,,,"Astor Piazzolla (1921-1992)
www.classclef.com
from Famille d'artistes",100,Moderato <sym>metNoteQuarterUp</sym> = 100,4/4,Nylon Guitar,cavaquinho,TRUE,24,Ouverture (2),"Astor Piazzolla (1921-1992)
www.classclef.com
from Famille d'artistes",Music by Arr. Gary Ryan,,f-I6_Gxd1y8,54,143,astor-ouverture2,,kf1wc,Ouverture (2) Astor Piazzolla Guitar,"from Famille d'artistes
Astor Piazzolla 
arranged by Gary Ryan",Karl Byrne,4172,yt_thumbnails/f-I6_Gxd1y8.jpg,,Astor Piazzolla (1921-1992),,Astor Piazzolla (1921-1992),Astor Piazzolla,0.96,0.96,Astor Piazzolla,https://imslp.org/wiki/Category%3APiazzolla%2C%20Astor,Argentine,1921,1992,Karl Byrne,male,,
BWV 788,,192,420,FALSE,FALSE,1,,32,,297,TRUE,210,3,Words by Arr. David Ruseell,,"www.classclef.com
Johann Sebastian Bach (1685-1750)
Sinfonia 11",60,<sym>metNoteQuarterUp</sym> = 60,12/8,Nylon Guitar,cavaquinho,TRUE,24,BWV 788,"www.classclef.com
Johann Sebastian Bach (1685-1750)
Sinfonia 11",,Words by Arr. David Ruseell,dgGF1OG-HCE,33,205,bwv-788-bach,,yf1wc,"Johann Sebastian Bach's ""Sinfonia No. 2, BWV 788"" by John Marcel Williams 2015 Henner Hagenlocher","Download a FREE pdf of Capricho Árabe arranged by Agustín Barrios here! https://tinyurl.com/y5cm7byv
 
Instagram: https://www.instagram.com/guitarsaloninternational/
Facebook: https://www.facebook.com/guitarsalon
Twitter: https://twitter.com/guitarsalon

Guitar: 2015 Henner Hagenlocher SP/CSAR (https://www.guitarsalon.com/product-henner-hagenlocher)

Here's John Marcel Williams performing David Russell's arrangement of ""Sinfonia No. 2, BWV 788"" by Johann Sebastian Bach on a 2015 Henner Hagenlocher classical guitar made with spruce top and CSA rosewood back and sides. Recorded at the Guitar Salon International showroom in Santa Monica, CA.

Huge thanks to the folks at Apogee Electronics (ApogeeDigital.com) for the use of their Ensemble interface in these recordings.

http://www.guitarsalon.com/

All proceeds from the monetization of this video go to the GSI Foundation, a non-profit organization that raises money to support music education in public schools. Visit our site for more information: https://www.gsifoundation.org/

#friendsofgsi #classicalguitar #guitarsaloninternational #gsi",Guitar Salon International,10502,yt_thumbnails/dgGF1OG-HCE.jpg,,Johann Sebastian Bach (1685-1750),,Johann Sebastian Bach (1685-1750),Johann Sebastian Bach,0.97,0.97,Johann Sebastian Bach,https://imslp.org/wiki/Category%3ABach%2C%20Johann%20Sebastian,German,1685,1750,John Marcel Williams,male,unknown,"{'instagram': 'https://www.instagram.com/guitarsaloninternational/', 'facebook': 'https://www.facebook.com/guitarsalon', 'twitter': 'https://twitter.com/guitarsalon'}"
Tango,Music by Transcription: Andrés Segovia,152,420,FALSE,FALSE,2,,62,,297,TRUE,210,3,,,"www.classclef.com
Isaac Albeniz (1860-1909)
Opus 165 No. 2",50,<sym>metNoteQuarterUp</sym> = 50,2/4,Nylon Guitar,cavaquinho,TRUE,24,Tango,"www.classclef.com
Isaac Albeniz (1860-1909)
Opus 165 No. 2",Music by Transcription: Andrés Segovia,,oqzA0AHkHfg,63,188,albeniz-tango,,wf1wc,"Jacob Cordover - Tango, Op 165 no.2, Isaac Albeniz","Tango Op 165 no.2, by Isaac Albéniz

Jacob Cordover, guitar (www.jacobcordover.com)

Transcrption: Jacob Cordover

Guitar: Elias Bonet Monné (www.eliasbonet.com)

Strings: Knobloch Strings (www.knoblochstrings.com)

This piece is available on the CD Expresivo (Cala Records 2016)
http://www.calarecords.com/acatalog/info-CACD77022.html

Mr Cordover ""has it all–technique, musicianship, inventive programming... In this release he confirms that impression. Even if you already have these pieces in other performances, Cordover’s have such a distinct and attractive personality that it will be worth finding."" - American Record Guide 

""Throughout it is obvious that Cordover has considered every nuance and phrase in the chosen programme. It would be difficult to imagine finer musical performances"" - Classical Guitar Magazine",Jacob Cordover,45716,yt_thumbnails/oqzA0AHkHfg.jpg,,Isaac Albeniz (1860-1909),,Isaac Albeniz (1860-1909),Isaac Albeniz,0.33,0.33,Isaac Albeniz,https://imslp.org/wiki/Category%3AAlb%C3%A9niz%2C%20Isaac,Spanish,1860,1909,Jacob Cordover,male,unknown,{'website': 'www.jacobcordover.com'}
Lagrima (Tear),,92,420,FALSE,FALSE,4,,16,,297,TRUE,210,1,,,"www.classclef.com
Francisco Tarrega (1852-1909)
Prelude 20 ",60,<sym>metNoteQuarterUp</sym> = 60,3/4,Nylon Guitar,cavaquinho,TRUE,24,Lagrima (Tear),"www.classclef.com
Francisco Tarrega (1852-1909)
Prelude 20 ",,,taTSJ0cjhUE,41,108,Prelude 20 Lagrima by Francisco Tarrega,,Yf1wc,"Tarrega's ""Lagrima"" played by Rafael Elizondo on an 1862 Antonio de Torres","Guitar: 1862 Manuel de Torres (http://tinyurl.com/qzeuq7d)

Here's Rafael Elizondo playing Francisco Tarrega's 'Lagrima' on an 1862 Antonio de Torres classical guitar at the Guitar Salon showroom in Santa Monica, CA.

http://www.guitarsalon.com

All proceeds from monetization of this video goes to the GSI Foundation, a non-profit organization that raises money to support music education in public schools. Visit our site for more information: https://www.gsifoundation.org/  #gsi #friendsofgsi #classicalguitar",Guitar Salon International,59672,yt_thumbnails/taTSJ0cjhUE.jpg,,Francisco Tarrega (1852-1909),,Francisco Tarrega (1852-1909),Francisco Tarrega,0.97,0.97,Francisco Tarrega,https://imslp.org/wiki/Category%3AT%C3%A1rrega%2C%20Francisco,Spanish,1852,1909,Rafael Elizondo,male,unknown,
Pavana 6,,32,420,FALSE,FALSE,2,,25,,297,TRUE,210,1,,,"www.classclef.com
Luys Milan (16th century)",280,<sym>metNoteQuarterUp</sym> = 280,3/2,Nylon Guitar,cavaquinho,TRUE,25,Pavana 6,"www.classclef.com
Luys Milan (16th century)",,,bo3JD66QStk,25,513,Pavana 6 by Luys Milan,,lf1wc,Six Pavans by Luis de Milan for Classical Guitar,"Six Pavans by Luis de Milán (c.1500-1561), arranged for guitar.

➔ PDF Sheet Music or Tab: https://www.thisisclassicalguitar.com/six-pavans-luis-de-milan-guitar/

Six Pavans by Luis de Milán (c.1500-1561) - Originally for vihuela. Sheet Music arranged for Classical Guitar with Notation-Only Edition, TAB Edition, and Unfingered Edition. Regular guitar tuning. Mixed levels (see link).

0:00 Pavana No.1 
1:24 Pavana No.2 
3:04 Pavana No.3 
4:51 Pavana No.4 
6:13 Pavana No.5 
7:14 Pavana No.6

The six pavans (pavanes, or pavanas) by Luis de Milán (c.1500-1561), also Luys Milán, come from his Libro de música de vihuela de mano intitulado El Maestro (1536). One of the first published music collections for the vihuela de mano. There are many editions of this music available but this edition focuses on voice leading and legato connection in imitation of vocal works of the era. Low quality editions often ignore the vocal quality and complexity of the music resulting in fingering choices that simplify the music to the point chord playing. This edition has been fingered specifically to create beautiful musical lines and voice independence. This doesn't always make for easy fingerings but the musical result is worth it.

★ Special thanks to all my Patreon Supporters and especially to:
★ Producers: Joseph Adamson, Mark Cohen, Daniel O’Connor, David Elliott, Don Francis, Marc Garnick, Philippe Gonzalez, Richard Groomer, Rene Perrin
★ Patrons: Bruno Bertucci, Marie Carr, Charles Coutret, Douglas Davis, Larry Earles, Hayes Hatfield, John McGlaughlin, Derrick Mickle, Barbara Naschold, Art Peterson, George Rowan, Adam Trosterman, John Schneider, Timothy Schorre, Donald Turbeville, Bob Zickler

➔ SUPPORT THE SITE & LESSONS: https://www.thisisclassicalguitar.com/donate-support/

➔ WEBSITE: https://www.thisisclassicalguitar.com

➔ FREE LESSONS: https://www.thisisclassicalguitar.com/lessons/

➔ FREE SHEET MUSIC & TAB: https://www.thisisclassicalguitar.com/sheet-music-for-classical-guitar/

➔ GEAR, STRINGS: https://www.thisisclassicalguitar.com/classical-guitar-store-reviews/

Thanks for watching!

#guitar #classicalguitar #guitarlesson #classicalguitarlesson #milan",This is Classical Guitar,22715,yt_thumbnails/bo3JD66QStk.jpg,,Luys Milan (16th century),,Luys Milan (16th century),Luys Milan,0.93,0.93,Luys Milan,https://imslp.org/wiki/Category%3AMil%C3%A1n%2C%20Luis,Spanish,1500,1561,Bradford Werner,male,,"{'website': 'https://www.thisisclassicalguitar.com', 'patreon': 'https://www.patreon.com/thisisclassicalguitar'}"
Sonata in A,Music by Arr: Julian Bream,106,420,FALSE,FALSE,3,,36,,297,TRUE,210,3,,,"www.classclef.com
Domenico Cimarosa (1749-1801)
Keyboard Sonanta C5",80,Allegro <sym>metNoteQuarterUp</sym> = 80,1/8,Nylon Guitar,cavaquinho,TRUE,24,Sonata in A,"www.classclef.com
Domenico Cimarosa (1749-1801)
Keyboard Sonanta C5",Music by Arr: Julian Bream,,XRSLS8BBz10,37,120,cimarosa-sonata2,,zf1wc,Sonata in A Major - Dominico Cimarosa,"Piece: Sonata in A Major
Composer: Dominico Cimarosa",The Six Stringed Eric,1502,yt_thumbnails/XRSLS8BBz10.jpg,,Domenico Cimarosa (1749-1801),,Domenico Cimarosa (1749-1801),Domenico Cimarosa,0.91,0.91,Domenico Cimarosa,https://imslp.org/wiki/Category%3ACimarosa%2C%20Domenico,Italian,1749,1801,Eric Wang,male,,
BWV 825 Courante,Music by Arr. David Tanenbaum,216,420,FALSE,FALSE,2,,63,,297,TRUE,210,4,,,"www.classclef.com
Johann Sebastian Bach (1685-1750)",100,<sym>metNoteQuarterUp</sym> = 100,1/8,Nylon Guitar,cavaquinho,TRUE,24,BWV 825 Courante,"www.classclef.com
Johann Sebastian Bach (1685-1750)",Music by Arr. David Tanenbaum,,aYQIRyyQ3Aw,62,121,bach-bwv825-corante,,Rf1wc,J. S. Bach Courante BWV 825 by Hamish Strathdee on a 2017 Enrico Bottelli,"J. S. Bach Courante BWV 825 by Hamish Strathdee on a 2017 Enrico Bottelli classical guitar, model Hermann Hauser. 
VISIT SICCAS GUITARS: https://www.siccasguitars.com 

Arrangement by Hamish Strathdee.

► https://www.instagram.com/siccasguitars/
►Twitter: https://twitter.com/siccasguitars
► Facebook: https://www.facebook.com/siccasguitars/
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
►Contact us: info@siccasguitars.com
►Guitar: https://www.siccasguitars.com/shop/guitar/enrico-bottelli-2017-2/

Don't forget to like, comment, share and subscribe the channel
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
 #SiccasGuitars",SiccasGuitars,15981,yt_thumbnails/aYQIRyyQ3Aw.jpg,,Johann Sebastian Bach (1685-1750),,Johann Sebastian Bach (1685-1750),Johann Sebastian Bach,0.13,0.13,Johann Sebastian Bach,https://imslp.org/wiki/Category%3ABach%2C%20Johann%20Sebastian,German,1685,1750,Hamish Strathdee,male,unknown,"{'instagram': 'https://www.instagram.com/siccasguitars/', 'twitter': 'https://twitter.com/siccasguitars', 'facebook': 'https://www.facebook.com/siccasguitars/'}"
Sonata In D Minor,Music by Andrew Zohn,414,420,FALSE,FALSE,-1,,50,,297,TRUE,210,4,Words by Transcribed by,,"www.classclef.com
Domenico Scarlatti (1685-1757)
 K 213/L 108",58,Andante <sym>metNoteQuarterUp</sym> = 58,4/4,Untitled,cavaquinho,TRUE,24,Sonata In D Minor,"www.classclef.com
Domenico Scarlatti (1685-1757)
 K 213/L 108",Music by Andrew Zohn,Words by Transcribed by,jS9T4QEkWt8,77,352,Sonata in D Minor K213 by Domenico Scarlatti,,Xf1wc,"Ana Vidovic plays Domenico Scarlatti | Sonata in D minor K. 213, L. 108 | Siccas Guitars","Add some beautiful music to your day and listen to Ana Vidovic playing the Sonata in D minor K. 213, L. 108 by Domenico Scarlatti on classical guitar. 

Support our channel and become a SiccasGuitars Member with exclusive classical guitar nerd perks:
https://www.youtube.com/channel/UCR39sLAZ5wS_vrMo4tRylHw/join

This Ana Vidovic concert is brought to you by Siccas Guitars and OhGuitar. Com. Visit ""The world's finest classical guitar in one place"" on https://www.siccasguitars.com and ""The world's marketplace for guitar lovers"" on https://ohguitar.com
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
Follows us on: 
► Instagram: https://www.instagram.com/siccasguitars/ 
► Facebook: https://www.facebook.com/siccasguitars/ 
► Twitter: https://twitter.com/siccasguitars 

WEBSITES:
► https://ohguitar.com/
► https://siccasmedia.com/
► https://www.siccasguitars.com/ 

NEWSLETTER:
► http://bit.ly/SiccasGuitars 

CONTACT US:
► info@siccasguitars.com 
► 76137 Karlsruhe, Roonstr. 31, Germany 

LIGHTED BY NYTA: https://www.nyta.eu/en/
 ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
►►ANA VIDOVIC 
https://www.youtube.com/playlist?list=PLWOAHYyavpQhzY5wkpHE0_AGu72x7JjdN

►►J S BACH
https://www.youtube.com/playlist?list=PLWOAHYyavpQiRD8C05bGImSEXp5KLpMSk

►► ALBUMS & CONCERTS
https://www.youtube.com/playlist?list=PLWOAHYyavpQj1YvhqLIO5EGz9ikpYTc2m

   ‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
 Classical guitars are our passion! We are specialized in the highest quality concert guitars as well as historic guitars from around the world. Our passion for these unique instruments and the joy to give guitarists, passionate players, and collectors the possibility to purchase their own appropriate instrument is the motivation that drives us. Another focus is to work closely with established and young, largely unknown luthiers. Together we want to develop new ideas and share experiences with our customers. We also recorded pieces for many great composers such as Johann Sebastian Bach, Astor Piazzolla and Isaac Albeniz (Asturias). You will also find almost all the classical music composers that wrote for the classical guitar. Make sure to discover Agustin Barrios Mangoré, Manuel Maria Ponce, Heitor Villa-Lobos and many more if you don't know their compositions already You can find our showroom in 76137 Karlsruhe, Roonstr. 31, Germany 

‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ 
 #SiccasGuitars #AnaVidovic #DomenicoScarlatti
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾",SiccasGuitars,179476,yt_thumbnails/jS9T4QEkWt8.jpg,,Domenico Scarlatti (1685-1757),,Domenico Scarlatti (1685-1757),Domenico Scarlatti,0.87,0.87,Domenico Scarlatti,https://imslp.org/wiki/Category%3AScarlatti%2C%20Domenico,Italian,1685,1757,Ana Vidovic,female,Croatian,"{'instagram': 'https://www.instagram.com/siccasguitars/', 'facebook': 'https://www.facebook.com/siccasguitars/', 'twitter': 'https://twitter.com/siccasguitars'}"
Légende,Music by Fingering: Peter Jermer,156,420,FALSE,FALSE,1,,30,,297,TRUE,210,2,,,"www.classclef.com
Ernest Shand (1868 -1924)",45,<sym>metNoteQuarterUp</sym> = 45,4/4,Nylon Guitar,cavaquinho,TRUE,24,Légende,"www.classclef.com
Ernest Shand (1868 -1924)",Music by Fingering: Peter Jermer,,VbteRamy5mc,45,180,shand-legende,,qf1wc,Légende - Ernest Shand (Official Music Video),"NEW ALBUM OUT NOW! Order your SIGNED CD here: https://bit.ly/3AdcI4H.
Support Alexandra here to access exclusive content: https://www.patreon.com/alexaguitarist.

__________

Alexandra Whittingham plays Ernest Shand's Légende from her debut album My European Journey, released May 28th 2021.

http://alexandrawhittingham.com  | 
https://www.facebook.com/alexandrawhittingham  |
Instagram: @alexaguitarist |

Strings: http://www.albertaugustine.com
Guitarlift: https://guitarlift.de/  
Guitar: https://deanguitars.co.uk",Alexandra Whittingham,60218,yt_thumbnails/VbteRamy5mc.jpg,,Ernest Shand (1868 -1924),,Ernest Shand (1868 -1924),Ernest Shand,0.84,0.84,Ernest Shand,https://imslp.org/wiki/Category%3AShand%2C%20Ernest,English,1868,1924,Alexandra Whittingham,female,unknown,"{'website': 'http://alexandrawhittingham.com', 'facebook': 'https://www.facebook.com/alexandrawhittingham', 'instagram': '@alexaguitarist'}"
